Instrument,Type,History,Net Profit,Return,Max Equity DD,Profit Factor,Trades,Wins,Losses
EURUSD,Forex,100%,-78.44,-0.78%,1.24%,0.46,6,3,3
GBPUSD,Forex,99%,-45.68,-0.46%,0.69%,0.00,2,0,2
USDJPY,Forex,99%,-1.31,-0.01%,1.39%,0.99,11,5,6
USDCHF,Forex,99%,128.89,1.29%,0.95%,3.59,8,5,3
USDCAD,Forex,99%,89.56,0.90%,0.69%,2.80,2,1,1
NZDUSD,Forex,99%,-27.84,-0.28%,1.21%,0.81,8,5,3
USDCNH,Forex,99%,0.00,0.00%,0.00%,N/A,0,0,0
US500,Index,99%,-282.77,-2.83%,9.73%,0.95,246,125,121
USTEC,Index,99%,-2419.59,-24.20%,25.92%,0.59,259,115,144
JPN225,Index,99%,-2995.52,-29.96%,40.41%,0.84,246,111,135
